customer_id,cart_amount,average_order_value,previous_purchases,previous_abandonments,previous_reminders,previous_recoveries,purchase_frequency,cart_vs_average,minutes_since_abandonment,natural_probability,intervention_probability,natural_recovered,intervention_recovered
CUST336,7067,2792,2,0,1,4,0.33,2.53,1436,0.103,0.248,0,0
CUST337,9997,1282,4,5,3,0,4.0,7.8,1163,0.05,0.125,0,0
CUST338,5645,2439,9,2,2,3,1.12,2.31,652,0.325,0.51,1,1
CUST339,2031,2160,4,4,0,1,0.5,0.94,337,0.173,0.308,0,0
CUST340,7891,4890,11,1,3,2,5.5,1.61,543,0.361,0.536,1,0
CUST341,1794,2992,1,1,2,1,0.17,0.6,509,0.098,0.173,0,1
CUST342,7708,2948,8,1,0,3,0.67,2.61,1139,0.267,0.472,0,1
CUST343,3941,1334,4,0,0,0,1.0,2.95,268,0.246,0.366,0,0
CUST344,3539,1188,8,0,0,0,1.0,2.98,1323,0.135,0.295,0,1
CUST345,3052,3216,3,0,3,0,0.43,0.95,1176,0.05,0.115,0,0
CUST346,6099,741,12,5,3,1,4.0,8.23,440,0.267,0.437,0,0
CUST347,4326,1717,1,4,4,4,0.2,2.52,1326,0.05,0.14,0,0
CUST348,2548,4424,1,0,2,3,0.25,0.58,859,0.133,0.238,0,0
CUST349,9221,2541,0,3,2,3,0.0,3.63,993,0.05,0.145,0,0
CUST350,3888,3681,8,1,0,2,1.6,1.06,61,0.443,0.633,1,0
CUST351,1940,4837,11,4,1,1,1.0,0.4,508,0.293,0.483,1,0
CUST352,3146,958,7,4,3,2,1.75,3.28,361,0.223,0.358,0,0
CUST353,9534,3439,0,5,2,4,0.0,2.77,292,0.137,0.247,0,0
CUST354,1778,4532,9,1,3,0,2.25,0.39,116,0.317,0.442,0,1
CUST355,2437,4415,0,2,4,1,0.0,0.55,698,0.05,0.085,0,0
CUST356,2620,3150,1,0,1,4,0.11,0.83,228,0.319,0.454,0,0
CUST357,5244,3560,12,4,0,2,4.0,1.47,661,0.348,0.578,0,0
CUST358,9507,4078,15,5,2,1,1.5,2.33,1421,0.166,0.381,0,1
CUST359,3211,1936,12,2,2,1,1.0,1.66,4,0.449,0.634,0,1
CUST360,3919,765,5,4,2,4,0.5,5.12,1310,0.083,0.243,0,0
CUST361,3050,3212,2,1,2,2,1.0,0.95,1303,0.05,0.15,0,0
CUST362,4388,3250,14,0,2,1,7.0,1.35,1420,0.266,0.471,0,0
CUST363,7175,510,1,3,3,5,0.14,14.07,341,0.222,0.342,0,0
CUST364,3995,4973,12,0,3,4,1.5,0.8,334,0.533,0.748,1,0
CUST365,1515,2915,0,2,2,0,0.0,0.52,701,0.05,0.1,0,0
CUST366,8209,1114,2,2,4,4,0.29,7.37,64,0.267,0.367,0,1
CUST367,3667,4056,5,0,0,2,0.71,0.9,390,0.327,0.487,0,0
CUST368,4191,4924,8,5,2,2,8.0,0.85,197,0.276,0.436,0,0
CUST369,7305,4521,4,0,2,0,0.8,1.62,180,0.224,0.314,0,0
CUST370,3098,4434,6,0,0,1,1.2,0.7,1308,0.128,0.283,0,0
CUST371,4641,1446,9,3,3,3,0.82,3.21,187,0.373,0.543,0,1
CUST372,4613,3624,11,1,3,0,1.38,1.27,901,0.21,0.355,0,0
CUST373,5932,1004,4,5,0,0,0.57,5.91,1109,0.05,0.17,0,0
CUST374,8079,999,12,4,3,4,3.0,8.09,1173,0.265,0.48,0,1
CUST375,3038,784,4,0,3,1,1.0,3.88,434,0.193,0.283,1,0
CUST376,4525,4066,6,5,1,4,0.5,1.11,655,0.234,0.419,0,1
CUST377,8814,3679,12,4,2,2,12.0,2.4,939,0.252,0.452,0,0
CUST378,2728,4780,13,0,3,1,1.3,0.57,1161,0.273,0.453,0,0
CUST379,9075,1320,3,4,0,2,0.43,6.88,705,0.114,0.254,0,0
CUST380,2656,4375,1,1,2,3,0.1,0.61,1267,0.05,0.155,0,0
CUST381,8085,3742,10,5,1,0,1.67,2.16,551,0.195,0.36,1,0
CUST382,1909,2982,9,2,3,5,3.0,0.64,467,0.422,0.622,1,0
CUST383,1762,3128,8,5,3,4,1.0,0.56,385,0.298,0.473,1,0
CUST384,1375,4468,11,0,4,1,0.92,0.31,638,0.307,0.452,0,1
CUST385,1244,4794,0,1,1,1,0.0,0.26,511,0.093,0.173,0,0
CUST386,6803,2131,8,2,3,4,4.0,3.19,1302,0.19,0.365,0,1
CUST387,9333,4504,14,1,3,4,2.33,2.07,717,0.482,0.717,1,0
CUST388,2969,1240,9,0,3,0,2.25,2.39,1172,0.131,0.256,0,0
CUST389,628,2193,8,5,3,4,8.0,0.29,1398,0.095,0.27,0,1
CUST390,5304,1918,0,1,2,4,0.0,2.77,1317,0.05,0.16,0,0
CUST391,5250,3356,14,2,1,3,1.56,1.56,1387,0.323,0.573,0,1
CUST392,4931,1338,0,4,2,4,0.0,3.69,612,0.098,0.208,0,1
CUST393,5195,2764,10,2,2,5,3.33,1.88,386,0.483,0.708,0,1
CUST394,2592,965,12,5,2,5,1.09,2.69,53,0.524,0.769,1,1
CUST395,9672,3928,12,3,0,4,2.0,2.46,389,0.507,0.767,0,1
CUST396,5218,4879,15,5,2,4,1.36,1.07,349,0.5,0.76,0,1
CUST397,9459,1299,15,1,2,5,1.36,7.28,375,0.635,0.9,0,1
CUST398,5728,2320,11,1,2,3,2.2,2.47,762,0.378,0.583,0,1
CUST399,1466,1464,15,0,4,4,3.75,1.0,968,0.461,0.691,0,0
CUST400,2550,3626,9,3,0,1,1.5,0.7,411,0.308,0.493,0,0
CUST401,8288,4248,4,2,1,0,0.36,1.95,682,0.094,0.199,0,0
CUST402,3062,975,0,3,2,1,0.0,3.14,1181,0.05,0.115,0,0
CUST403,7335,1221,4,4,3,5,0.57,6.01,827,0.175,0.325,0,0
CUST404,5579,809,6,5,2,0,1.5,6.9,1088,0.05,0.16,1,1
CUST405,2412,2538,7,5,2,2,1.0,0.95,211,0.248,0.398,0,1
CUST406,8824,1034,1,2,2,3,0.11,8.53,1222,0.05,0.155,0,0
CUST407,3001,1596,10,3,2,1,10.0,1.88,827,0.21,0.375,0,0
CUST408,8567,1574,6,5,0,4,3.0,5.44,347,0.316,0.516,0,0
CUST409,1096,806,12,5,2,4,12.0,1.36,1217,0.252,0.482,0,0
CUST410,7579,661,1,5,0,3,0.5,11.47,779,0.064,0.199,0,0
CUST411,7195,1754,6,5,0,2,3.0,4.1,1356,0.05,0.22,0,0
CUST412,2228,1623,13,0,4,5,6.5,1.37,579,0.529,0.754,0,1
CUST413,7013,2136,8,4,1,2,2.67,3.28,605,0.239,0.414,1,0
CUST414,508,2201,15,2,1,0,7.5,0.23,1376,0.23,0.445,0,0
CUST415,1959,4547,4,0,4,0,0.36,0.43,525,0.115,0.175,0,0
CUST416,3162,2925,8,3,0,0,1.6,1.08,81,0.309,0.469,0,0
CUST417,2567,3989,3,0,0,0,0.27,0.64,1359,0.05,0.16,0,0
CUST418,5915,4085,8,5,0,2,4.0,1.45,375,0.28,0.47,0,0
CUST419,3032,2726,12,5,3,3,4.0,1.11,232,0.389,0.589,0,1
CUST420,9621,1805,3,3,4,3,0.38,5.33,1390,0.05,0.145,0,0
CUST421,8297,3437,0,5,1,3,0.0,2.41,232,0.129,0.239,0,1
CUST422,9747,3074,0,5,4,5,0.0,3.17,1158,0.05,0.145,0,0
CUST423,5964,3271,3,3,1,3,0.27,1.82,1360,0.05,0.19,0,1
CUST424,7988,947,0,5,1,4,0.0,8.44,1016,0.05,0.175,0,0
CUST425,3948,2473,10,2,0,4,0.91,1.6,1128,0.334,0.574,0,0
CUST426,1742,1145,14,3,4,3,1.75,1.52,1021,0.311,0.516,0,0
CUST427,9428,645,3,3,3,0,3.0,14.62,1125,0.05,0.115,0,0
CUST428,6253,2995,6,5,3,2,1.5,2.09,112,0.223,0.348,0,1
CUST429,1896,4375,11,5,3,0,2.75,0.43,1350,0.05,0.195,1,0
CUST430,2989,2891,11,5,0,0,3.67,1.03,1009,0.148,0.338,0,0
CUST431,3372,3852,3,2,4,1,0.43,0.88,248,0.135,0.2,0,0
CUST432,9947,2061,10,0,3,0,1.25,4.83,253,0.339,0.474,0,0
CUST433,1095,4630,4,3,0,4,0.57,0.24,1134,0.158,0.338,0,0
CUST434,2403,4664,5,5,4,1,0.71,0.52,213,0.117,0.202,0,0
CUST435,4367,3136,12,3,4,5,1.71,1.39,561,0.433,0.648,0,0
CUST436,8693,4209,4,1,3,4,0.33,2.07,613,0.252,0.387,0,1
CUST437,5060,2280,6,1,4,5,1.0,2.22,1407,0.164,0.319,0,1
CUST438,9512,1956,10,5,0,2,1.0,4.86,984,0.208,0.418,0,0
CUST439,2044,3919,9,3,0,4,1.29,0.52,52,0.5,0.73,1,1
CUST440,4405,2137,8,1,2,5,8.0,2.06,300,0.475,0.68,0,1
CUST441,9505,4933,1,2,3,0,0.08,1.93,460,0.05,0.095,0,0
CUST442,6649,4685,9,5,0,3,0.82,1.42,854,0.249,0.464,0,0
CUST443,3995,606,8,1,4,3,0.67,6.59,1298,0.155,0.3,0,0
CUST444,7653,4977,6,5,1,2,0.55,1.54,364,0.212,0.367,1,0
CUST445,4872,4709,3,3,0,3,0.6,1.03,1140,0.092,0.247,0,0
CUST446,2836,2589,0,2,3,5,0.0,1.1,82,0.274,0.384,0,0
CUST447,1494,2967,15,4,4,2,1.67,0.5,651,0.345,0.545,1,1
CUST448,6909,1058,5,3,4,4,0.83,6.53,189,0.292,0.422,1,1
CUST449,8991,3218,10,2,2,1,1.11,2.79,973,0.205,0.37,0,0
CUST450,4237,572,3,5,2,3,0.3,7.41,1316,0.05,0.175,0,0
CUST451,4503,826,10,3,0,3,0.83,5.45,1107,0.274,0.499,0,0
CUST452,3454,3571,14,3,0,2,1.56,0.97,657,0.424,0.674,1,1
CUST453,3792,4907,0,5,0,1,0.0,0.77,1404,0.05,0.145,0,0
CUST454,7823,4065,2,5,1,0,2.0,1.92,680,0.05,0.135,0,1
CUST455,6978,2563,2,4,1,2,0.25,2.72,795,0.051,0.166,0,0
CUST456,396,638,12,5,0,4,1.0,0.62,1314,0.272,0.532,0,0
CUST457,5048,872,2,2,4,0,0.4,5.79,1405,0.05,0.09,0,0
CUST458,2861,4085,12,3,0,3,3.0,0.7,1093,0.326,0.571,1,1
CUST459,6413,4970,9,5,1,2,1.0,1.29,23,0.355,0.54,0,1
CUST460,9100,842,0,4,4,3,0.0,10.81,1122,0.05,0.115,0,0
CUST461,2937,3316,6,3,4,1,1.5,0.89,377,0.16,0.255,0,1
CUST462,9292,1438,5,5,4,0,0.45,6.46,945,0.05,0.12,0,0
CUST463,9812,1051,8,0,1,5,1.33,9.34,998,0.38,0.6,1,0
CUST464,3470,2421,3,2,4,0,0.38,1.43,651,0.05,0.1,0,0
CUST465,5482,3004,4,4,4,2,1.33,1.82,878,0.05,0.14,1,0
CUST466,5732,2314,13,2,2,1,1.62,2.48,983,0.278,0.473,0,0
CUST467,4897,4489,3,1,4,0,0.33,1.09,287,0.113,0.163,0,0
CUST468,811,1126,2,0,4,5,0.2,0.72,1192,0.132,0.247,0,0
CUST469,2735,800,8,4,4,3,1.14,3.42,750,0.19,0.335,0,0
CUST470,1783,2883,4,3,4,4,0.67,0.62,813,0.142,0.262,0,0
CUST471,9579,1858,4,3,1,1,0.36,5.16,1159,0.05,0.17,0,1
CUST472,4096,4460,11,0,1,3,2.2,0.92,129,0.549,0.769,1,1
CUST473,1060,2193,11,3,3,3,1.0,0.48,82,0.444,0.634,1,0
CUST474,9218,4771,8,5,2,4,2.67,1.93,1168,0.161,0.351,0,0
CUST475,6949,1137,8,3,1,4,1.33,6.11,723,0.32,0.525,0,1
CUST476,1563,554,4,3,1,1,0.36,2.82,1054,0.05,0.17,0,1
CUST477,4073,1789,11,4,0,5,1.83,2.28,850,0.405,0.67,0,1
CUST478,7032,4422,15,1,4,1,3.75,1.59,46,0.501,0.686,1,1
CUST479,9676,1819,4,5,4,0,4.0,5.32,301,0.05,0.11,0,0
CUST480,605,4732,12,4,4,5,2.4,0.13,1356,0.249,0.464,0,1
CUST481,2638,4361,15,1,1,3,5.0,0.6,1194,0.411,0.671,0,1
CUST482,1427,1873,10,3,4,4,1.43,0.76,471,0.361,0.541,0,1
CUST483,3206,2157,13,1,4,0,1.3,1.49,975,0.225,0.375,0,0
CUST484,2435,4853,3,0,3,5,0.33,0.5,1236,0.168,0.308,0,0
CUST485,8980,4034,13,2,0,5,3.25,2.23,879,0.499,0.784,0,1
CUST486,7271,3623,11,4,4,0,2.2,2.01,275,0.24,0.37,0,1
CUST487,4523,1186,9,4,4,3,9.0,3.81,388,0.287,0.442,0,0
CUST488,3665,4780,3,4,0,3,0.5,0.77,1409,0.05,0.205,0,1
CUST489,9551,3990,8,2,4,3,0.8,2.39,749,0.24,0.385,0,0
CUST490,3228,2168,13,4,4,3,1.44,1.49,759,0.313,0.508,0,1
CUST491,2562,3012,11,5,3,5,5.5,0.85,1351,0.22,0.44,0,0
CUST492,5844,1825,3,1,4,3,0.3,3.2,1128,0.064,0.159,0,0
CUST493,2681,1816,12,5,0,0,1.2,1.48,966,0.182,0.382,0,1
CUST494,6596,2316,11,0,4,0,1.1,2.85,821,0.231,0.361,0,1
CUST495,475,970,5,5,3,3,0.45,0.49,414,0.177,0.307,0,0
CUST496,4095,2095,1,4,4,4,0.33,1.95,1260,0.05,0.14,0,0
CUST497,6085,502,5,0,2,3,0.71,12.12,1372,0.131,0.276,0,1
CUST498,9460,625,2,0,4,2,0.33,15.14,1194,0.05,0.12,0,0
CUST499,376,2353,6,3,3,4,2.0,0.16,535,0.268,0.423,0,1
CUST500,4522,1092,9,2,0,4,0.9,4.14,1102,0.315,0.545,1,1
CUST501,7848,3589,15,1,2,3,15.0,2.19,1202,0.39,0.635,0,1
CUST502,7057,3634,7,5,1,2,0.78,1.94,724,0.165,0.33,0,0
CUST503,5903,2657,7,2,0,3,0.78,2.22,156,0.414,0.609,0,1
CUST504,3415,3396,6,4,2,1,0.5,1.01,1022,0.05,0.175,0,0
CUST505,6133,2674,6,1,1,1,3.0,2.29,320,0.281,0.421,1,1
CUST506,6381,4535,0,4,0,3,0.0,1.41,1272,0.05,0.175,0,0
CUST507,6818,2750,15,1,4,2,1.5,2.48,455,0.459,0.659,1,1
CUST508,5989,3966,15,4,0,4,1.36,1.51,807,0.474,0.764,0,1
CUST509,3752,1486,14,2,0,0,1.4,2.52,778,0.344,0.564,1,1
CUST510,4713,2627,5,4,2,1,0.5,1.79,966,0.05,0.165,0,0
CUST511,6863,3972,6,3,2,2,0.75,1.73,573,0.2,0.34,1,1
CUST512,9398,2372,3,5,2,1,0.43,3.96,886,0.05,0.145,0,0
CUST513,8485,1725,15,0,1,3,1.36,4.92,276,0.62,0.88,1,1
CUST514,1081,4486,9,2,4,4,4.5,0.24,816,0.292,0.462,0,1
CUST515,5783,2583,15,5,0,3,2.5,2.24,533,0.463,0.738,1,1
CUST516,6052,2611,11,0,3,0,1.1,2.32,1392,0.137,0.282,0,0
CUST517,8663,4910,5,2,2,2,0.42,1.76,999,0.115,0.245,0,1
CUST518,5827,2847,14,5,1,1,1.27,2.05,864,0.272,0.492,0,1
CUST519,5436,1084,2,1,2,1,0.18,5.01,649,0.095,0.18,0,0
CUST520,9916,3739,8,3,2,5,1.0,2.65,1067,0.272,0.477,0,1
CUST521,4422,689,4,5,1,5,0.33,6.42,1436,0.068,0.248,0,1
CUST522,1181,1343,3,0,3,4,0.43,0.88,54,0.364,0.489,0,0
CUST523,6687,1351,8,4,1,0,2.0,4.95,634,0.153,0.298,0,1
CUST524,875,1535,4,4,1,0,0.67,0.57,1359,0.05,0.155,0,0
CUST525,7588,4400,14,4,2,4,1.17,1.72,277,0.515,0.765,0,1
CUST526,5988,4240,13,4,4,2,1.44,1.41,987,0.228,0.408,1,1
CUST527,5273,3022,11,3,2,1,11.0,1.74,22,0.396,0.571,0,0
CUST528,436,1616,11,2,3,4,1.38,0.27,1409,0.243,0.448,0,0
CUST529,418,574,13,2,4,1,2.17,0.73,1123,0.21,0.375,1,0
CUST530,6685,4080,12,1,1,5,3.0,1.64,775,0.5,0.76,1,1
CUST531,7065,2462,8,2,4,2,4.0,2.87,386,0.273,0.403,1,1
CUST532,3376,4230,14,2,4,3,14.0,0.8,657,0.409,0.614,1,0
CUST533,2348,681,5,0,2,2,0.42,3.45,898,0.185,0.315,1,1
CUST534,5404,620,15,1,2,3,2.5,8.72,1021,0.426,0.671,0,0
CUST535,6729,3205,2,1,0,2,0.22,2.1,147,0.276,0.406,0,1
CUST536,4378,2548,12,0,0,5,1.5,1.72,789,0.542,0.817,1,0
CUST537,3715,2131,14,5,0,4,2.0,1.74,969,0.391,0.671,0,1
CUST538,9304,3146,5,5,0,5,2.5,2.96,1067,0.187,0.392,0,0
CUST539,4166,2127,11,0,1,0,1.57,1.96,1297,0.196,0.371,0,1
CUST540,988,2761,3,3,1,0,0.25,0.36,1191,0.05,0.145,0,0
CUST541,1797,3542,2,1,1,3,0.2,0.51,1405,0.05,0.18,0,0
CUST542,9087,991,1,2,1,5,0.33,9.17,220,0.311,0.461,0,1
CUST543,6489,3345,14,5,1,0,1.17,1.94,734,0.258,0.463,1,0
CUST544,8329,4475,14,4,2,4,1.4,1.86,389,0.492,0.742,1,1
CUST545,1428,4337,8,4,4,1,2.67,0.33,1088,0.05,0.165,0,0
CUST546,8589,4936,11,3,0,5,0.92,1.74,777,0.445,0.71,1,1
CUST547,9130,3482,7,2,0,5,1.75,2.62,794,0.366,0.591,0,1
CUST548,5576,1762,9,2,3,5,4.5,3.16,227,0.47,0.67,0,1
CUST549,8252,1563,5,0,1,0,2.5,5.28,393,0.226,0.341,1,0
CUST550,9971,3683,15,4,4,5,15.0,2.71,525,0.49,0.735,1,1
CUST551,7968,1080,0,1,3,0,0.0,7.38,1309,0.05,0.085,0,0
CUST552,4655,3907,11,5,0,4,11.0,1.19,1084,0.293,0.543,0,0
CUST553,4084,1138,6,4,0,0,0.86,3.59,1089,0.05,0.19,0,0
CUST554,2028,2537,5,4,4,3,0.5,0.8,1308,0.05,0.165,0,0
CUST555,6879,3998,3,1,1,4,0.5,1.72,1034,0.183,0.338,0,0
CUST556,6390,4129,11,2,4,2,1.0,1.55,845,0.256,0.416,0,0
CUST557,4462,2471,6,3,4,5,0.75,1.81,738,0.247,0.402,0,1
CUST558,2513,783,9,4,0,4,9.0,3.21,619,0.361,0.591,1,1
CUST559,8676,3079,0,5,2,4,0.0,2.82,1140,0.05,0.16,0,1
CUST560,4641,809,14,2,1,1,1.4,5.74,752,0.37,0.59,1,1
CUST561,3862,2960,2,4,3,4,0.17,1.3,159,0.218,0.333,0,0
CUST562,9741,4499,3,4,2,0,1.5,2.17,782,0.05,0.13,0,0
CUST563,4014,3239,11,3,3,0,1.1,1.24,1337,0.073,0.218,0,0
CUST564,5531,3633,1,2,4,0,0.1,1.52,1106,0.05,0.08,0,0
CUST565,9724,2308,4,0,3,3,2.0,4.21,1034,0.153,0.273,0,0
CUST566,8096,3730,4,1,2,0,0.33,2.17,1171,0.05,0.14,1,0
CUST567,2436,1196,12,4,3,5,1.5,2.04,277,0.485,0.715,0,1
CUST568,7346,2106,7,1,0,2,0.64,3.49,663,0.297,0.477,0,1
CUST569,5554,3888,13,2,2,1,1.3,1.43,706,0.334,0.529,0,0
CUST570,2689,1886,11,4,3,4,11.0,1.43,903,0.294,0.499,0,1
CUST571,1193,3562,4,5,0,0,0.4,0.33,498,0.075,0.195,0,0
CUST572,7673,2856,0,2,0,2,0.0,2.69,965,0.05,0.16,0,0
CUST573,9291,2235,6,4,4,2,0.6,4.16,990,0.052,0.162,0,1
CUST574,4485,650,12,4,4,0,12.0,6.9,349,0.25,0.39,0,0
CUST575,6667,2722,1,3,0,0,0.2,2.45,1353,0.05,0.14,0,0
CUST576,6632,3450,3,0,2,5,0.43,1.92,474,0.34,0.495,0,0
CUST577,3354,3084,15,4,4,0,1.67,1.09,408,0.313,0.483,0,0
CUST578,5765,676,1,1,4,2,0.14,8.53,1004,0.05,0.11,0,1
CUST579,8512,3382,11,5,2,1,11.0,2.52,565,0.237,0.412,0,0
CUST580,6736,741,8,1,1,2,2.67,9.09,1346,0.166,0.341,1,0
CUST581,7287,2363,13,1,4,1,1.3,3.08,640,0.332,0.497,1,0
CUST582,3614,2193,4,4,4,5,0.8,1.65,283,0.263,0.398,0,0
CUST583,5501,1607,13,1,4,1,1.44,3.42,139,0.432,0.597,0,0
CUST584,7083,2008,10,1,0,2,2.0,3.53,843,0.336,0.546,0,0
CUST585,3326,2742,4,1,0,1,0.4,1.21,54,0.304,0.439,0,0
CUST586,1602,2391,7,1,0,2,0.88,0.67,1410,0.148,0.328,1,0
CUST587,8063,4340,11,1,3,3,3.67,1.86,282,0.454,0.644,1,1
CUST588,3623,622,8,3,1,5,4.0,5.82,419,0.421,0.641,1,0
CUST589,4343,4098,15,5,2,3,2.14,1.06,876,0.355,0.6,0,0
CUST590,9670,3616,10,3,4,5,1.11,2.67,1217,0.252,0.447,0,0
CUST591,4325,815,3,3,3,0,0.33,5.31,1063,0.05,0.115,0,0
CUST592,6821,3673,1,1,2,3,0.2,1.86,624,0.155,0.26,0,0
CUST593,8502,946,4,3,3,0,1.33,8.99,232,0.119,0.194,0,0
CUST594,7687,4976,4,3,3,2,1.33,1.54,52,0.235,0.34,0,0
CUST595,2986,2154,14,0,2,2,7.0,1.39,254,0.539,0.759,1,1
CUST596,8683,3473,2,4,3,5,0.67,2.5,1254,0.05,0.18,0,0
CUST597,2669,1899,10,4,1,1,0.83,1.41,367,0.297,0.477,1,1
CUST598,2455,4155,9,5,1,0,9.0,0.59,416,0.197,0.352,0,1
CUST599,8384,4257,15,3,4,0,3.75,1.97,488,0.322,0.492,0,1
CUST600,407,3859,14,0,4,4,1.56,0.11,502,0.53,0.75,1,1
CUST601,6018,2200,1,1,1,0,0.33,2.74,76,0.165,0.24,0,0
CUST602,7131,2944,10,0,0,0,3.33,2.42,366,0.377,0.557,0,0
CUST603,887,1953,14,5,4,2,2.8,0.45,191,0.387,0.577,1,0
CUST604,8013,1054,13,4,0,2,6.5,7.6,276,0.45,0.69,0,1
CUST605,3725,4817,13,4,1,5,13.0,0.77,1254,0.354,0.624,1,0
CUST606,5005,4833,2,3,4,5,0.2,1.04,875,0.12,0.235,0,0
CUST607,8814,3398,4,4,4,3,0.5,2.59,1295,0.05,0.155,0,0
CUST608,692,2406,9,1,0,0,0.82,0.29,953,0.209,0.379,0,0
CUST609,6028,2198,13,3,0,2,1.18,2.74,1148,0.3,0.54,1,0
CUST610,8601,2807,8,0,2,2,1.33,3.06,1127,0.215,0.375,0,1
CUST611,777,3230,10,3,4,4,2.5,0.24,360,0.383,0.563,1,1
CUST612,2845,4424,15,0,1,3,1.88,0.64,1285,0.418,0.678,0,1
CUST613,5204,3245,14,3,0,4,1.17,1.6,1158,0.403,0.683,0,1
CUST614,1384,653,6,4,2,2,1.2,2.12,306,0.229,0.369,0,1
CUST615,3370,3573,5,4,4,3,2.5,0.94,1219,0.05,0.165,0,0
CUST616,8443,3076,1,2,3,0,0.17,2.74,487,0.05,0.095,0,0
CUST617,912,2270,9,1,0,2,4.5,0.4,414,0.397,0.597,0,1
CUST618,8879,4453,4,1,2,3,0.67,1.99,636,0.228,0.363,1,0
CUST619,6650,4728,4,1,0,3,2.0,1.41,1070,0.181,0.346,1,0
CUST620,8829,1213,10,3,0,0,0.83,7.28,1350,0.105,0.285,0,0
CUST621,4995,3057,6,2,1,1,0.67,1.63,567,0.207,0.347,0,0
CUST622,2175,1463,8,1,1,2,0.8,1.49,32,0.429,0.604,0,1
CUST623,2619,4944,11,4,2,2,1.1,0.53,581,0.299,0.489,1,1
CUST624,8012,3274,14,0,1,0,14.0,2.45,1384,0.253,0.458,1,1
CUST625,7604,3993,12,1,4,4,2.0,1.9,1263,0.302,0.502,0,0
CUST626,1822,4870,2,3,4,1,0.25,0.37,1431,0.05,0.105,0,0
CUST627,4527,4312,15,1,1,1,2.14,1.05,745,0.421,0.651,1,0
CUST628,1370,3206,10,3,3,0,5.0,0.43,974,0.12,0.255,0,0
CUST629,2387,1899,9,2,4,4,4.5,1.26,1041,0.247,0.417,0,0
CUST630,9028,1376,10,4,0,2,1.43,6.56,945,0.241,0.451,0,1
CUST631,5882,2496,5,3,3,0,0.42,2.36,427,0.105,0.19,0,0
CUST632,1576,4066,10,4,1,1,1.25,0.39,1176,0.135,0.315,1,0
CUST633,6948,3165,3,3,1,2,0.3,2.2,143,0.231,0.356,1,0
CUST634,3865,3604,10,3,0,0,1.0,1.07,285,0.318,0.498,0,0
CUST635,9004,501,4,5,1,3,0.57,17.97,597,0.156,0.306,0,0
CUST636,5289,2184,10,2,4,5,0.83,2.42,891,0.342,0.537,0,1
CUST637,2389,1231,0,4,4,3,0.0,1.94,603,0.05,0.115,0,0
CUST638,2097,935,0,5,4,2,0.0,2.24,578,0.05,0.1,0,0
CUST639,6551,3729,10,5,3,3,1.11,1.76,892,0.207,0.387,0,1
CUST640,7135,1639,6,4,3,2,1.2,4.35,316,0.207,0.332,0,0
CUST641,8274,1600,0,0,0,1,0.0,5.17,1348,0.05,0.145,0,1
CUST642,3245,1624,13,3,4,3,1.44,2.0,931,0.304,0.499,0,0
CUST643,421,3651,11,1,1,3,1.38,0.12,1184,0.313,0.533,0,1
CUST644,6312,4610,8,3,4,4,8.0,1.37,69,0.391,0.551,0,0
CUST645,8924,1427,15,5,0,1,1.88,6.25,573,0.375,0.62,0,1
CUST646,9134,1224,7,3,0,5,1.4,7.46,1188,0.262,0.487,0,0
CUST647,7987,4882,0,3,3,4,0.0,1.64,1176,0.05,0.145,0,0
CUST648,5281,2913,9,1,0,5,1.8,1.81,1155,0.369,0.614,1,1
CUST649,747,1885,1,5,2,5,0.12,0.4,588,0.142,0.277,1,0
CUST650,4809,2776,8,1,4,2,8.0,1.73,527,0.27,0.4,0,0
CUST651,4169,1738,14,2,1,2,4.67,2.4,994,0.361,0.596,0,0
CUST652,8425,3308,2,1,4,1,0.29,2.55,846,0.05,0.105,0,0
CUST653,4631,1870,6,4,2,0,6.0,2.48,238,0.162,0.272,0,0
CUST654,6522,2968,15,5,4,1,1.25,2.2,1400,0.13,0.315,0,1
CUST655,6558,4845,13,0,2,3,2.17,1.35,1390,0.327,0.552,0,0
CUST656,4766,836,3,4,2,3,0.6,5.7,687,0.118,0.243,0,1
CUST657,9945,3704,14,5,1,5,1.56,2.68,400,0.525,0.805,1,1
CUST658,438,1973,10,4,0,5,10.0,0.22,140,0.522,0.777,1,1
CUST659,3463,4153,11,1,2,2,11.0,0.83,70,0.476,0.666,0,1
CUST660,2428,2276,3,5,0,0,0.27,1.07,770,0.05,0.16,0,0
CUST661,5126,2013,3,5,1,2,0.27,2.55,957,0.05,0.175,0,0
CUST662,2953,2764,13,5,2,2,2.6,1.07,152,0.41,0.62,0,1
CUST663,7518,3225,1,2,2,1,0.12,2.33,143,0.146,0.221,0,1
CUST664,2657,3716,5,5,3,0,0.71,0.72,1108,0.05,0.135,0,0
CUST665,1453,4117,8,0,0,0,0.67,0.35,1171,0.166,0.326,0,0
CUST666,6697,4577,4,5,0,0,1.33,1.46,546,0.066,0.186,0,0
CUST667,1448,530,15,3,3,3,3.75,2.73,1107,0.339,0.569,1,0
CUST668,5763,4449,3,4,4,2,0.6,1.3,1397,0.05,0.13,0,0
CUST669,7830,1242,11,4,2,0,1.0,6.3,594,0.216,0.376,1,0
CUST670,6186,3647,6,2,3,0,3.0,1.7,997,0.05,0.145,0,0
CUST671,4207,2052,4,0,1,0,0.57,2.05,1002,0.08,0.185,1,0
CUST672,906,3020,15,4,3,0,15.0,0.3,695,0.276,0.461,0,0
